100, 1, 5, 
100, 3, 4, 
100, 4, 4, 
100, 9, 1, 
100, 11, 3, 
100, 12, 3, 
100, 13, 3, 
100, 14, 3, 
100, 16, 2, 
100, 17, 1, 
100, 18, 4, 
100, 19, 4, 
100, 20, 5, 
101, 1, 5, 
101, 2, 4, 
101, 9, 4, 
101, 11, 5, 
101, 12, 4, 
101, 13, 4, 
101, 14, 5, 
101, 15, 4, 
101, 16, 3, 
101, 18, 3, 
101, 19, 4, 
102, 1, 5, 
102, 2, 4, 
102, 4, 3, 
102, 8, 3, 
102, 9, 2, 
102, 10, 3, 
102, 11, 4, 
102, 12, 4, 
102, 13, 2, 
102, 14, 4, 
102, 15, 2, 
102, 16, 4, 
102, 17, 5, 
102, 18, 5, 
102, 20, 2, 
103, 11, 5, 
103, 12, 4, 
103, 13, 4, 
103, 14, 5, 
103, 15, 3, 
103, 16, 5, 
103, 17, 3, 
103, 18, 4, 
104, 13, 4, 
104, 14, 3, 
104, 15, 3, 
104, 16, 4, 
104, 17, 5, 
105, 1, 4, 
105, 11, 4, 
105, 13, 4, 
105, 15, 5, 
106, 11, 4, 
106, 12, 3, 
106, 13, 3, 
106, 14, 3, 
106, 15, 1, 
106, 16, 4, 
106, 17, 3, 
107, 11, 5, 
107, 13, 5, 
107, 14, 5, 
107, 15, 3, 
107, 16, 5, 
107, 20, 3, 
107, 12, 4, 
109, 11, 4, 
109, 14, 4, 
